update,theta
304,0.5124131441116333
305,0.5128885507583618
306,0.5133630037307739
307,0.5138365030288696
308,0.5143091082572937
309,0.5147807598114014
310,0.5152514576911926
311,0.5157212615013123
312,0.5161901116371155
313,0.5166580677032471
314,0.5171250700950623
315,0.5175911784172058
316,0.5180563926696777
317,0.5185206532478333
318,0.5189840197563171
319,0.5194464921951294
320,0.51990807056427
321,0.520368754863739
322,0.5208285450935364
323,0.5212874412536621
324,0.5217454433441162
325,0.5222025513648987
326,0.5226587653160095
327,0.5231140851974487
328,0.5235685110092163
329,0.524022102355957
330,0.5244747996330261
331,0.5249266028404236
332,0.5253775715827942
333,0.5258276462554932
334,0.5262768864631653
335,0.5267252326011658
336,0.5271727442741394
337,0.5276194214820862
338,0.5280652046203613
339,0.5285101532936096
340,0.528954267501831
341,0.5293975472450256
342,0.5298399329185486
343,0.5302814841270447
344,0.5307222008705139
345,0.5311620831489563
346,0.5316011309623718
347,0.5320393443107605
348,0.5324767827987671
349,0.5329133868217468
350,0.5333491563796997
351,0.5337840914726257
352,0.5342181921005249
353,0.534651517868042
354,0.5350840091705322
355,0.5355157256126404
356,0.5359466075897217
357,0.5363766551017761
358,0.5368059277534485
359,0.5372344255447388
360,0.5376620888710022
361,0.5380889773368835
362,0.5385150909423828
363,0.5389403700828552
364,0.5393648743629456
365,0.5397886037826538
366,0.54021155834198
367,0.5406337380409241
368,0.5410550832748413
369,0.5414756536483765
370,0.5418954491615295
371,0.5423144698143005
372,0.5427327156066895
373,0.5431502461433411
374,0.5435670018196106
375,0.543982982635498
376,0.5443981885910034
377,0.5448126196861267
378,0.5452263355255127
379,0.5456392765045166
380,0.5460514426231384
381,0.546462893486023
382,0.5468735694885254
383,0.5472835302352905
384,0.5476927161216736
385,0.5481011867523193
386,0.548508882522583
387,0.5489158630371094
388,0.5493220686912537
389,0.5497275590896606
390,0.5501323342323303
391,0.5505363941192627
392,0.550939679145813
393,0.551342248916626
394,0.5517441034317017
395,0.55214524269104
396,0.5525456666946411
397,0.5529453754425049
398,0.5533443689346313
399,0.5537426471710205
400,0.5541402101516724
401,0.5545370578765869
402,0.5549331903457642
403,0.5553286075592041
404,0.5557233095169067
405,0.5561172962188721
406,0.5565106272697449
407,0.5569032430648804
408,0.5572951436042786
409,0.5576863884925842
410,0.5580769181251526
411,0.5584667325019836
412,0.5588558912277222
413,0.5592443346977234
414,0.5596321225166321
415,0.5600191950798035
416,0.5604056119918823
417,0.5607913136482239
418,0.5611763596534729
419,0.5615607500076294
420,0.5619444251060486
421,0.5623274445533752
422,0.5627098083496094
423,0.5630914568901062
424,0.5634724497795105
425,0.5638527870178223
426,0.5642324686050415
427,0.5646114945411682
428,0.5649898648262024
429,0.565367579460144
430,0.5657446384429932
431,0.5661210417747498
432,0.5664967894554138
433,0.5668718814849854
434,0.5672463178634644
435,0.5676200985908508
436,0.5679932236671448
437,0.5683656930923462
438,0.5687375068664551
439,0.5691087245941162
440,0.5694792866706848
441,0.5698491930961609
442,0.5702184438705444
443,0.5705870985984802
444,0.5709550976753235
445,0.5713224411010742
446,0.5716891884803772
447,0.5720552802085876
448,0.5724207758903503
449,0.5727856159210205
450,0.5731498599052429
451,0.5735134482383728
452,0.5738764405250549
453,0.5742387771606445
454,0.5746005177497864
455,0.5749616622924805
456,0.575322151184082
457,0.5756820440292358
458,0.5760413408279419
459,0.5764000415802002
460,0.576758086681366
461,0.577115535736084
462,0.5774723887443542
463,0.5778286457061768
464,0.5781843066215515
465,0.5785393714904785
466,0.578893780708313
467,0.5792475938796997
468,0.5796008110046387
469,0.5799534320831299
470,0.5803054571151733
471,0.580656886100769
472,0.5810077786445618
473,0.5813580751419067
474,0.581707775592804
475,0.5820568799972534
476,0.5824053883552551
